au|qual
BEATTY, R|62.625
BEAUDRY, P|14.45476
BEAUMONT, P|5.611111
BEAVER, W|14.23611
BEBBINGTON, A|59.91667
BEBCHUK, L|29.87699
BECK, J|13.625
BECK, S|13
BECKER, B|8.25
BECKER, E|12.66667
BECKER, G|191.25
BECKER, R|22.59524
BECKER, W|14.25298
BECKMANN, M|23.83333
BEDARD, K|11.9375
BEESON, P|18.97619
BEGHIN, J|5.470238
BEGLEY, C|8.5
BEGUN, J|7.333333
BEHN, R|9
BEHRMAN, J|17.89667
BEILOCK, R|4
BEKAERT, G|26.78095
BELL, C|13.56667
BELL, E|20.5
BELL, F|21.83333
BELL, J|6
BELL, S|15.78571
BELLOWS, J|6.25
BELMAN, D|9.8
BELSLEY, D|13.06667
BEN-AKIVA, M|8.940475
BEN-NER, A|7.233334
BENABOU, R|45.14231
BENAKIVA, M|22.30952
BENARTZI, S|73
BENAVIE, A|5.666667
BENDER, B|11.25
BENDER, K|8.8125
BENEISH, M|5.277778
BENEKOHAL, R|4.5
BENERIA, L|27
BENHABIB, J|32.73958
BENHAM, L|50.9
BENHORIM, M|3.25
BENIGNO, G|18.5
BENIGNO, P|18.4
BENJAMIN, D|11.02963
BENJAMIN, J|6.428571
BENKARD, C|19.12963
BENMELECH, E|5.361111
BENNER, C|16.22222
BENNER, J|6.53238
BENNETT, E|6.833333
BENNETT, J|8.30303
BENNETT, N|2.388889
BENOIT, J|16.21428
BENPORATH, E|18.88095
BENSON, B|11.38056
BENTO, A|9.118334
BENVENISTE, L|23.82143
BERA, A|15.29394
BERCK, P|18.625
BERESTEANU, A|10
BERG, N|7.3
BERG, S|5.638889
BERGEMANN, D|11.04444
BERGEN, M|10.81481
BERGER, J|6.5
BERGER, L|10.28571
BERGER, M|17.62566
BERGER, P|72.70834
BERGIN, P|15.48333
BERGLAS, E|32.8
BERGMAN, N|7.25
BERGMANN, B|31.8125
BERGSON, A|17.63636
BERGSTRAND, J|74.53222
BERGSTRESSER, D|20.63334
BERGSTROM, J|8.757576
BERGSTROM, T|33.34524
BERK, J|20.5
BERKOVEC, J|20.53125
BERKOVITCH, E|10.26667
BERKOWITZ, D|8.465278
BERKOWITZ, J|36.8
BERLIANT, M|9.703704
BERMAN, E|30.68077
BERNANKE, B|82.80914
BERNARD, A|47.89545
BERNARD, J|3.94
BERNARD, V|63.33333
BERNARDO, A|17.21428
BERNDT, E|28.83733
BERNHARDT, D|8.662037
BERNHEIM, B|43.70909
BERNHOFEN, D|7.3
BERON, K|5.85
BERRENS, R|4.634127
BERRY, B|15.61111
BERRY, C|46.95833
BERRY, J|3.472222
BERRY, S|51.23684
BERTAUD, A|11.44444
BERTOLA, G|34.03413
BERTRAM, M|10.64643
BERTRAND, M|35.80833
BERTSIMAS, D|8.583334
BERWALD, D|4.166667
BESANKO, D|15.02778
BESEDES, T|11.33333
BESLEY, T|31.95588
BESSEMBINDER, H|26.92105
BESSEN, J|11.91667
BESSLER, D|8.083333
BETANCOURT, R|7.055555
BETSON, D|4.416667
BETTINGER, E|13.04286
BETTS, C|25.33333
BETTS, J|23.18929
BEWLEY, T|75.4
BEYER, A|5.625
BEYERS, W|17.66667
BHAGWATI, J|24.03672
BHARATH, S|12.54167
BHARGAVA, A|35.71429
BHARGAVA, R|5.833333
BHAT, C|26.34031
BHATTACHARYA, D|6
BHATTACHARYA, J|6.655556
BHATTACHARYA, M|27.33333
BHATTACHARYA, R|7
BHATTACHARYA, S|35.38426
BHATTACHARYA, U|8.935185
BHUSHAN, R|53.46667
BICK, A|14.5
BICKEL, P|9.119049
BIDDLE, A|2.361111
BIDDLE, J|21.5625
BIELECKI, T|5.694444
BIENEN, H|9.4375
BIER, V|8.5
BIERENS, H|30.85
BIERWAG, G|10.75926
BIFULCO, R|7
BIGELOW, J|7
BIGLAISER, G|14.34524
BIKHCHANDANI, S|44.70238
BILS, M|43.83889
BILSBORROW, R|13
BILSON, J|26
BINDER, J|89.5
BINDER, M|8.1875
BINKLEY, J|8.916667
BINMORE, K|17.07936
BIRD, C|10.75
BIRD, R|4.166667
BISCHOFF, C|14.33333
BISHAI, D|6.703704
BISHOP, J|13.71212
BISHOP, R|29.81452
BISIN, A|13.82222
BITTKER, B|22
BITTLINGMAYER, G|22.25
BIZER, D|18.83333
BJORNDAL, T|12.11111
BJORNSON, B|5.5
BLACCONIERE, W|14.66667
BLACK, B|19.27083
BLACK, D|13.94907
BLACK, J|9.333333
BLACK, M|15.66667
BLACK, S|18.07647
BLACKBURN, M|12.44872
BLACKIE, M|3.666667
BLACKLEY, P|6.571429
BLACKWELL, D|15.70833
BLAIR, D|10.65714
BLAIR, R|7.722222
BLAKEMORE, A|6
BLALOCK, G|7.333333
BLANCHARD, O|45.86829
BLANCHFLOWER, D|33.40873
BLANK, R|33.66667
BLANK, S|3.5
BLATTBERG, R|4.416667
BLATTMAN, C|12.22222
BLAU, D|31.09615
BLAU, F|39.5471
BLEAKLEY, H|14.64394
BLECKER, R|10.16667
BLEJER, M|10.30435
BLIN, J|4.833333
BLINDER, A|60.69203
BLITZ, R|4.666667
BLOCK, M|25.3
BLOCK, S|12.15
BLOMBERG, S|9.142858
BLOMQUIST, G|16.59848
BLONIGEN, B|18.98485
BLOOM, B|6.946428
BLOOM, D|19.29545
BLOOM, N|16.07143
BLOOMFIELD, R|15.69048
BLUME, A|8.696428
BLUME, L|42
BLUME, M|73.8
BLUMENBERG, E|20.5
BLUMENFELD, D|14.72222
BLUMENSCHEIN, K|8.523809
BLUNDELL, R|16.4287
BLYTH, M|3.5
BOADWAY, R|7.666666
BOAL, W|17.66667
BOARD, O|16
BOARNET, M|17.94643
BOCKSTAEL, N|33.23016
BODNAR, G|7.944444
BOEHLJE, M|17.66667
BOEHMER, B|4.25
BOEHMER, E|10.87879
BOETTKE, P|4.428571
